image,question,answer
image2136,What is AIDS?,acquired immunodeficiency syndrome
image2137,"What are large, with round to convoluted nuclei having high n/c ratio and no cytoplasmic granularity?",the cells
image2138,What is seen in small arteries?,plexiform lesion
image2138,Where is plexiform lesion characteristic of advanced pulmonary hypertension seen?,in small arteries
image2139,What is there?,patchy myocardial fibrosis
image2139,"What is there, especially around small blood vessels in the interstitium?",patchy myocardial fibrosis
image2140,What is expanded in the region of epiphysis?,end of the long bone
image2140,"What shows circumscribed, dark tan, haemorrhagic and necrotic tumour?",sectioned surface
image2140,What is the end of the long bone expanded in?,region of epiphysis
image2140,Where is the end of the long bone expanded?,in region of epiphysis
image2141,What form a poorly defined nodule?,collection of microglial cells
image2141,What did the collection of microglial cells form?,a poorly defined nodule
image2142,What is subacute endocarditis caused by?,streptococcus viridans on a previously myxomatous mitral valve
image2142,What is caused by Streptococcus viridans on a previously myxomatous mitral valve?,subacute endocarditis
image2142,How is subacute endocarditis caused?,by streptococcus viridans on a previously myxomatous mitral valve
image2143,"How is reversible injury considered to do if the injurious stimulus is not removed, by convention?",culminate in necrosis
image2143,What are illustrated?,the principal cellular alterations that characterize reversible cell injury and necrosis
image2143,"What is considered to culminate in necrosis if the injurious stimulus is not removed, by convention?",reversible injury
image2144,Where is the pacemaker?,in the right ventricle
image2144,What is presented incidentally in the right ventricle?,a pacemaker
image2144,Where is the atrium shown?,on the right in this four-chamber view of the heart
image2144,What are shown on the right in this four-chamber view of the heart?,the left ventricle and left atrium
image2144,What is causing reduction in lumen size?,concentric thickening of the left ventricular wall
image2144,What is concentric thickening of the left ventricular wall causing?,reduction in lumen size
image2145,What produces a draining sinus?,extension of infection into the joint space
image2145,What is called involucrum?,formation of viable new reactive bone surrounding the sequestrum
image2145,"What does the extension of infection into the joint space, epiphysis and the skin produce?",a draining sinus
image2145,What does process begin as?,a focus of microabscess in a vascular loop in the marrow which expands to stimulate
image2145,What does the abscess expand?,further causing necrosis of the cortex called sequestrum
image2146,What shows lobulated mass with bluish cartilaginous hue infiltrating the soft tissues?,sectioned surface
image2146,Why is the bone expanded?,due to a gelatinous tumour
image2146,How does sectioned surface show lobulated mass?,with bluish cartilaginous hue infiltrating the soft tissues
image2147,What represents cell cycle for labile cells?,the particle
image2147,What is the inner circle shown with?,green line
image2147,What represents cell cycle for permanent cells?,circle shown with red line
image2147,What is the circle shown with?,red line represents cell cycle for permanent cells
image2147,What represents cell cycle for stable cells?,circle shown with yellow-orange line
image2148,Where are foci of metaplastic squamous epithelium seen?,at other places
image2148,What is lined by normal columnar epithelium while foci of metaplastic squamous epithelium are seen at other places?,part of the endocervical mucosa
image2148,What is part of the endocervical mucosa lined by?,normal columnar epithelium
image2149,What were grossly hemorrhagic and shrunken at autopsy?,the adrenal glands
image2149,What is discernible in this photomicrograph?,little residual cortical architecture
image2149,What result in acute adrenal insufficiency?,bilateral adrenal hemorrhage
image2149,What did bilateral adrenal hemorrhage in an infant with overwhelming sepsis result in?,acute adrenal insufficiency
image2150,What does the stratum corneum around the hair follicle show?,presence of numerous arthrospores and hyphae
image2150,What shows presence of numerous arthrospores and hyphae?,stratum corneum around the hair follicle
image2151,What are heaped up within the sinuses of Valsalva?,nodular masses of calcium
image2151,How are the commissures stenosis?,not fused
image2151,What are nodular masses of calcium heaped up within?,the sinuses valsalva
image2151,"What are not fused,  as in rheumatic aortic valve stenosis?",the commissures
image2152,What does ischemic injury show?,surface blebs
image2152,"What is showing increased eosinophilia of cytoplasm,  and swelling of occasional cells?",early (reversible) ischemic injury
image2153,What shows a scolex with a row of hooklets?,inbox in the right photomicrograph
image2153,What does inbox in the right photomicrograph show?,a scolex with a row of hooklets
image2153,How does inbox in the right photomicrograph show a scolex?,with a row of hooklets
image2153,What does microscopy show?,three layers in the wall of hydatid cyst
image2154,What are released into the cytosol?,viral rna genome
image2154,What are viral rna genome as well as reverse transcriptase released into?,the cytosol
image2154,What fuses with the plasma membrane of the host cell?,the viral envelope
image2154,How does the viral envelope fuse with?,the plasma membrane of the host cell
image2155,What is the end of the long bone expanded in?, region of epiphysis
image2155,"What shows circumscribed, dark tan, haemorrhagic and necrotic tumour?",sectioned surface
image2155,What is expanded in the region of epiphysis?,end of the long bone
image2156,What does ctive granulation tissue have?,inflammatory cell infiltrate
image2156,"What has inflammatory cell infiltrate, newly formed blood vessels and young fibrous tissue in loose matrix?",active granulation tissue
image2157,How does microscopic view of breast carcinoma illustrate the invasion of breast stroma and fat?,by nests and cords of tumor cells
image2157,What illustrates the invasion of breast stroma and fat by nests and cords of tumor cells?,the microscopic view of breast carcinoma
image2157,What does microscopic view of breast carcinoma illustrate?, the invasion of breast stroma and fat by nests and cords of tumor cells
image2158,What is bilayer lipid membrane studded with?,2 viral glycoproteins
image2158,"What does the particle have containing proteins, p24 and p18, two strands of viral rna, and enzyme reverse transcriptase?",core transcriptase
image2158,"What has core containing proteins, p24 and p18, two strands of viral rna, and enzyme reverse transcriptase?",the particle 
image2158,"What is studded with 2 viral glycoproteins, gp120 and gp41, in the positions shown?",bilayer lipid membrane
image2159,What does thickness and intensity of colour of on left side of figure correspond to?,extent of metabolic pathway
image2159,What corresponds to extent of metabolic pathway followed ADH = alcohol dehydrogenase ; ALDH or ACDH = hepatic acetaldehyde dehydrogenase ; NAD = nicotinamide adenine dinucleotide ; NADH = reduced NAD?,thickness and intensity of colour of on left side of figure
image2160,What are predominantly seen in lymph nodes and throughout lung parenchyma?,the lesions
image2160,What are the lesions predominantly seen in?,lymph nodes and throughout lung parenchyma
image2161,What is the gallbladder mucosa infiltrated by?,chronic inflammatory cells
image2161,What is infiltrated by chronic inflammatory cells?,the gallbladder mucosa
image2162,How does a peripheral blood smear show a hyper-segmented neutrophil?,with a six-lobed nucleus
image2162,What does a peripheral blood smear show?,a hyper-segmented neutrophil with a six-lobed nucleus 
image2162,What shows a hyper-segmented neutrophil with a six-lobed nucleus?,a peripheral blood smear 
image2163,What does typical tuberculous granuloma show?,an area of central necrosis
image2163,"What is surrounded by multiple multinucleate giant cells,  epithelioid cells,  and lymphocytes?",an area of central necrosis
image2163,What is an area of central necrosis surrounded by?,multiple multinucleate giant cells
image2164,What is matted mass of lymph nodes surrounded by?,increased fat
image2164,What is surrounded by increased fat?,matted mass of lymph nodes
image2165,What is the aneurysmal bone cyst with blood-filled cystic space surrounded by?,a fibrous wall containing proliferating fibroblasts
image2165,How is aneurysmal bone cyst with blood-filled cystic space surrounded?,by a fibrous wall containing proliferating fibroblasts
image2165,"What is surrounded by a fibrous wall containing proliferating fibroblasts,  reactive woven bone,  and osteoclast-type giant cells?",aneurysmal bone cyst with blood-filled cystic space
image2166,What is also seen in the photomicrograph?,giant cell with inclusions 
image2167,What is seen in singles?,the dead cell singles
image2167,What is there?,no inflammation
image2167,Where is the dead cell seen?,in singles
image2167,What has clumped chromatin?,the nucleus
image2168,What shows regularly spaced stool-filled diverticulae?,gross examination of a resected sigmoid colon
image2169,What are the location of vegetations on mitral valve shown as?,viewed from the left atrium
image2169,What shows tiny firm granular vegetations?,free surface and margin of the mitral valve
image2169,What does the free surface and margin of the mitral valve show?,tiny firm granular vegetations
image2169,What are shown as seen from the left ventricular surface?,vegetations on aortic valve
image2169,What show irregularly scarred mitral valve leaving a fish-mouth or buttonhole opening between its two cusps?,opened up  chambers and valves of the left heart
image2170,What are there?,alternate areas of collapsed and dilated alveolar spaces
image2170,"What are there of collapsed and dilated alveolar spaces, many of which are lined by eosinophilic hyaline membranes?",alternate areas
image2171,What were diffusely hyperplastic?,adrenal glands in a patient with acth-dependent cushing syndrome
image2171,"What was from a patient with ACTH-dependent Cushing syndrome,  in whom both adrenal glands were diffusely hyperplastic?",the adnormal gland
image2171,What was the abnormal gland from?,a patient with acth-dependent cushing syndrome
image2171,How was the abnormal gland?,from a patient with acth-dependent cushing syndrome
image2171,What is diffuse hyperplasia of the adrenal gland contrasted with?,a normal adrenal gland
image2171,What is yellow and thickened?,the adrenal cortex
image2171,How is diffuse hyperplasia of the adrenal gland contrasted?,with a normal adrenal gland
image2171,What is contrasted with a normal adrenal gland?,diffuse hyperplasia of the adrenal gland
image2172,What is composed of curvilinear trabeculae of woven bone that lack conspicuous osteoblastic rimming and arise in a background of fibrous tissue?,fibrous dysplasia
image2172,What is fibrous dysplasia composed of?,curvilinear trabeculae of woven bone
image2173,What is contrasted with normal basal polarity in columnar epithelium?,microscopic appearance of loss of nuclear polarity
image2173,How is microscopic appearance of loss of nuclear polarity contrasted ?,with normal basal polarity in columnar epithelium
image2174,What does higher magnification show in the center?,an irreversibly sickled cell
image2174,What shows an irreversibly sickled cell in the center?,higher magnification
image2175,"What are positively charged,  thus allowing the compaction of the negatively charged DNA?",the histone subunits
image2175,How are the histone subunits charged?,positively charged
image2176,What does the basal layer show?,hydropic degeneration and loss of dermoepidermal junction
image2176,What is there?,hyperkeratosis and follicular plugging
image2176,What shows hydropic degeneration and loss of dermoepidermal junction?,basal layer
image2177,What does the trabecular bone forming the marrow space show at the margins?,trabeculae with osteoclastic activity
image2177,Where does the trabecular bone forming the marrow space show?,at the margins 
image2177,How does the trabecular bone forming the marrow space show trabeculae?,with osteoclastic activity
image2177,"What shows concentric lamellae along with osteocytic lacunae surrounding central blood vessels, while the trabecular bone forming the marrow space shows trabeculae with osteoclastic activity at the margins?",cortical bone forming the outer shell
image2177,What does the cortical bone forming the outer shell show?,concentric lamellae along with osteocytic lacunae surrounding central blood vessels
image2177,What shows trabeculae with osteoclastic activity at the margins?,trabecular bone forming the marrow space
image2178,How is the liver?,small (700g)
image2178,"What is small (700 g),  bile-stained,  soft,  and congested?",the liver
image2178,How much does the liver weigh?,700 g
image2179,What are nuclei also enlarged with?,irregular outlines
image2179,How are the myocardial muscle fibres?,thick with abundance of eosinophilic cytoplasm
image2179,What are thick with abundance of eosinophilic cytoplasm?,the myocardial muscle fibres cytoplasm
image2180,What is there in the media and adventitia?,endarteritis and periarteritis of the vasa vasorum
image2180,"What is there of plasma cells, lymphocytes and macrophages?",perivascular infiltrate
image2181,What is limited to descending aorta?,stanford type b
image2181,What is Stanford type B limited to?,descending aorta
image2181,What only includes DeBakey 's type I and II?,stanford type a involving ascending aorta
image2182,What are present along with a dominant polyp (right)?,hundreds of small colonic polyps
image2182,What are hundreds of small colonic polyps present along with?,a dominant polyp
image2183,What is shown on the right in this four-chamber view?,the left ventricle
image2183,Where is the left ventricle shown in this four-chamber view?,on the right
image2183,"What is dilated,  reflecting long-standing valvular insufficiency and volume overload?",the atrium
image2183,What is prominent hooding with?,prolapse of the posterior mitral leaflet into the left atrium
image2183,What is there with prolapse of the posterior mitral leaflet into the left atrium?,prominent hooding
image2184,What does luminal surface of longitudinal cut section show?,segment of thickened wall with narrow lumen
image2184,What is shown in longitudinal section along with a segment in cross section?,specimen of small intestine
image2184,What does external surface show?,increased mesenteric fat
image2184,"What shows increased mesenteric fat, thickened wall and narrow lumen?",external surface
image2184,What shows segment of thickened wall with narrow lumen which is better appreciated in cross section while intervening areas of the bowel are uninvolved or skipped?,luminal surface of longitudinal cut section
image2184,Where is the specimen of small intestine shown?,in longitudinal section
image2184,How does luminal surface of longitudinal cut section show segment of thickened wall?,with narrow lumen
image2185,"What is there with only collapsed reticulin framework left out in their place, high lighted by reticulin stain right photomicrograph?",wiping out of liver lobules
image2185,Where is there?,no significant inflammation or fibrosis
image2185,"What is there left out in their place, high lighted by reticulin stain right photomicrograph?",wiping out of liver lobules with only collapsed reticulin framework
image2185,"What left out in their place, high lighted by reticulin stain?",collapsed reticulin framework
image2186,"What shows failure of normal differentiation,  marked nuclear and cellular pleomorphism,  and numerous mitotic figures extending toward the surface?",high-power view of another region
image2186,What does high-power view of another region show?,failure of normal differentiation
image2186,What is not seen in this section?,the intact basement membrane
image2187,Where are the amyloid deposits seen?,glomerular capillary tuft
image2187,What are seen mainly in the glomerular capillary tuft?,the amyloid deposits
image2187,Where are the deposits producing atrophic tubules present?,peritubular connective tissue
image2187,What are also present in peritubular connective tissue producing atrophic tubules?,the deposits
image2188,What is typical?,necrotic debris
image2189,"What are seen at this stage,  associated with regeneration and repair?",numerous reactive type ii pneumocytes
image2189,"What is marked by resorption of hyaline membranes and thickening of alveolar septa by inflammatory cells,  fibroblasts,  and collagen?",the healing stage
image2189,What is the healing stage marked by?,resorption of hyaline membranes and thickening of alveolar septa by inflammatory cells
image2189,"What are numerous reactive type II pneumocytes seen at,  associated with regeneration and repair?",this stage
image2190,What does epithelial crowding produce when glands are cut in cross-section?,a serrated architecture
image2190,What produces a serrated architecture when glands are cut in cross-section?,epithelial crowding
image2190,How are the glands cut?,in cross-section
image2191,What stain shows C4d deposition in peritubular capillaries and a glomerulus?,immunoperoxidase stain
image2192,What does the granuloma in the center show?,multinucleate giant cells
image2192,What shows several multinucleate giant cells?,the granuloma
image2193,What shows caseating epithelioid cell granulomas in the intestinal wall?,microscopy of intestine
image2193,What does microscopy of intestine show?,caseating epithelioid cell granulomas in the intestinal wall
image2193,What is thickened?,wall of intestine in the area of narrowed lumen
image2193,What shows stricture and a lymph node in section having caseation necrosiss?,external surface of small intestine
image2193,What does the lumen show ?,characteristic transverse ulcers and two strictures
image2193,What does the external surface of small intestine show?,stricture and a lymph node in section having caseation necrosiss
image2194,What are the histological features present?,transmural chronic inflammatory cell infiltration
image2195,What is mild degree of liver cell necrosis seen as?,ballooning degeneration
image2195,What is seen as ballooning degeneration while acidophilic councilman bodies are indicative of more severe liver cell injury?,mild degree of liver cell necrosis
image2195,What are indicative of more severe liver cell injury?,acidophilic councilman bodies
image2195,What are the predominant histologic changes?,variable degree of necrosis of hepatocytes
image2196,What does thrombus in the left and right ventricular apices overlie?,white fibrous scar
image2196,What are super-imposed on advanced atherosclerotic lesions of the more proximal aorta (left side of photograph)?,friable mural thrombi
image2197,What do teased fiber preparations allow for?,examination of individual axons of peripheral nerves
image2197,What is flanked by nodes of Ranvier?,a normal axon
image2197,What is a normal axon with a long thick dark myelin internode flanked by?,nodes of ranvier with a long thick dark myelin internode
image2197,How is a normal axon with a long thick dark myelin internode flanked?,by nodes of ranvier
image2197,What shows a segment surrounded by a series of thinly myelinated internodes of uneven length flanked on both ends by normal thicker myelin internodes?,the right axon
image2197,"What does the right axon,  by contrast,  show?",a segment surrounded by a series of thinly myelinated internodes of uneven length flanked on both ends by normal thicker myelin internodes
image2197,What allow for examination of individual axons of peripheral nerves?,teased fiber preparations
image2198,Where is diagrammatic representation of three forms of arteriolosclerosis seen?,in hypertension 
image2198,What is seen in hypertension?,three forms of arteriolosclerosis
image2199,Where are areas of chalky necrosis present?,within the colon wall
image2199,What are present within the colon wall?,areas of chalky necrosis
image2200,What does the multilobed nucleus of the distinctive lacunar cell contain?,many small nucleoli
image2200,What is seen lying within a clear space created by retraction of its cytoplasms?,a distinctive lacunar cell with a multilobed nucleus containing many small nucleoli
image2201,What shows congophilia which under polarising microscopy?,congo red staining
image2201,What does  congo red staining show?,congophilia which under polarising microscopy
image2201,What shows apple-green birefringence?,the figure
image2201,Where the deposition is extensive causing compression and pressure atrophy of hepatocytes?,in the space of disse
image2202,What do the congophilic areas show?,apple-green birefringence
image2202,What stained red-pink Congophilia?,the amyloid deposits
image2202,What show apple-green birefringence?,congophilic areas
image2202,What show birefringence?,the congophilic areas
image2203,What results for the AML are shown in the figure?,flow cytometry 
image2203,What are the tumor cells positive for?,the stem cell marker cd34 and myeloid lineage specific markers cd33 and cd15
image2203,What are positive for the stem cell marker CD34 and the myeloid lineage specific markers CD33 and CD15 subset?,the tumor cells
image2204,What is increased?,weight of the heart
image2205,What is not clear-cut?,line of demarcation between gangrenous segment and the viable bowel clear-cut
image2205,"What is soft, swollen and dark?",the affected part dark
image2206,What did subsynovial tissue contain?,a dense lymphoid aggregate
image2206,What contains a dense lymphoid aggregate?,subsynovial tissue
image2207,What does the subcutaneous tissue show?,masses or nodules of calcium salt surrounded by foreign body giant cells
image2207,What shows masses or nodules of calcium salt surrounded by foreign body giant cells?,subcutaneous tissue
image2208,What does the mucosa in the infarcted area show?,coagulative necrosis and submucosal haemorrhages
image2208,What is marked at the line of demarcation between the infarcted and normal bowel?,inflammatory cell infiltration
image2208,Where is inflammatory cell infiltration marked at?,line of demarcation between the infarcted and normal bowel
image2208,What shows coagulative necrosis and submucosal haemorrhages?,mucosa in the infarcted area
image2209,"What is entrapped in a dense,  onion-skin concentric scar?",a bile duct undergoing degeneration
image2209,What is a bile duct undergoing degeneration entrapped in?,a dense
image2210,What is evident?,four-chamber dilation and hypertrophy 
image2211,"What is removed at autopsy showing a unifocal,  massive neoplasm replacing most of the right hepatic lobe in a noncirrhotic liver?",the liver
image2212,What is involvedd in pathogenesis of two main types of diabetes mellitus?,chematic mechanisms
image2212,What is chematic mechanisms involved in?,pathogenesis of two main types of diabetes mellitus
image2213,How does the affected area on right show cells?,with intensely eosinophilic cytoplasm of tubular cells
image2213,What shows cells with intensely eosinophilic cytoplasm of tubular cells?,the affected area on right
image2213,Where is the affected area?,on right
image2213,What do the nuclei show?,granular debris
image2213,What are still maintained?,the outlines of tubules
image2213,Where is the affected area?,on right
image2213,What does the affected area on right show?,cells with intensely eosinophilic cytoplasm of tubular cells 
image2213,What does the interface between viable and non-viable area show?,non-specific chronic inflammation proliferating vessels
image2213,What shows non-specific chronic inflammation and proliferating vessels?,the interface between viable non-viable area vessels
image2214,What show osseous metaplasia in the centre?,whorls composed of smooth muscle cells and fibroblasts
image2214,What are the whorls composed of?,smooth muscle cells and fibroblasts
image2215,What does the tumour show?,uniform cells having high mitotic rate
image2215,What shows uniform cells having high mitotic rate?,the tumour
image2216,What is further composed of double helix of two pleated sheets in the form of twin filaments separated by a clear space?,each fibril
image2216,What does p-component have?,pentagonal or doughnut profile
image2216,"What does c, x-ray crystallography and infra-red spectroscopy show?",fibrils having cross
image2216,What is further composed of two pleated sheets in the form of twin filaments separated by a clear space?,each fibril
image2216,What is each fibril further composed of?,double helix of two pleated sheets
image2217,"What shows well-defined bands of pink,  acellular collagen that have subdivided the tumor cells into nodules?",a low-power view
image2218,What does the periphery show?,healed granulomas
image2218,What shows healed granulomas?,the periphery
image2218,What  shows healed granulomas?,the periphery
image2218,What are the deposits while the periphery shows healed granulomas?,basophilic granular
image2218,What are basophilic granular while the periphery shows healed granulomas?,the deposits
image2219,What entraps native lamellar bone as a confluent mass of cartilage?,conventional chondrosarcoma
image2220,How are the tumor cells strikingly similar to normal squamous epithelial cells?,with intercellular bridges and nests of keratin (arrow)
image2220,How are the tumor cells?,strikingly similar to normal squamous epithelial cells
image2220,"What are strikingly similar to normal squamous epithelial cells,  with intercellular bridges and nests of keratin?",the tumor cells
image2221,What migrate along the incised margin on either side as well as around the suture track?,spurs of epidermal cells
image2221,When does removal of suture result in?,around 7th day
image2221,What are the incised wound as well as suture track on either side filled with?,blood clot
image2221,What at around 7th day results in scar tissue at the sites of incision and suture track?,removal of suture
image2221,Where is inflammatory response from?,the margins
image2221,What are filled with blood clot?,the open wound
image2222,What show preserved outlines with loss of nuclei?,the necrotic cells
image2223,"What is characterized by vasodilation, congestion, and edema?",the immediate reaction
image2224,What appear that all share the same fiber type (fiber type grouping)  with ongoing denervation and reinnervation?,large clusters of fibers
image2224,Under what conditions do clusters of fibers appear that all share the same fiber type?,with ongoing denervation and reinnervation
image2224,What share the same fiber type (fiber type grouping)?,large clusters of fibers
image2225,What does Cut surface show?,a grey white firm tumour extending irregularly into adjacent breast parenchyma
image2225,What shows a grey white firm tumour extending irregularly into adjacent breast parenchyma?,cut surface
image2225,What does the breast show?,a tumour extending up to nipple and areola
image2226,How is Ewing sarcoma composed of sheets of small round cells?,with small amounts of clear cytoplasm
image2226,What is Ewing sarcoma composed of?,sheets of small round cells with small amounts of clear cytoplasm
image2226,What is composed of sheets of small round cells with small amounts of clear cytoplasm?,ewing sarcoma
image2227,Where is mononuclear inflammatory cell infiltrate present?,in subepithelial and perimuscular layers
image2227,What is there?,subepithelial and subserosal fibrosis and hypertrophy of muscularis
image2227,What is present in subepithelial and perimuscular layers?,mononuclear inflammatory cell infiltrate
image2228,"What is surrounded by eosinophils,  lymphocytes,  and histiocytes?",a diagnostic
image2229,What shows the morphologic variant of RS cell seen more often in particular histologic type?,the inset on right side of each type
image2229,What does the inset on right side of each type show?,the morphologic variant of rs cell seen more often in particular histologic type
image2230,What has been termed cystic hygroma?,fluid accumulation particularly prominent in the soft tissues of the neck
image2230,"What are cystic hygromas characteristically seen with,  but not limited to?",constitutional chromosomal anomalies such as 45
image2230,What has this condition been termed?,cystic hygroma
image2230,"What are characteristically seen with,  but not limited to,  constitutional chromosomal anomalies such as 45,  X karyotypes?",cystic hygromas
image2231,What shows ghostal veoli filled with blood?,infarcted area
image2231,What does infarcted area show?,ghostal veoli filled with blood
image2232,What are shown?,apoptotic cells in colonic epithelium
image2233,What is there?,moderate microcytosis and hypochromia
image2233,What aspirate shows micronormoblastic erythropoiesis?,examination of bone marrow
